name: LicensePlist, nameSpecified: , owner: mono0926, version: 3.25.1, source: https://github.com/mono0926/LicensePlist

name: SwiftFormat, nameSpecified: , owner: nicklockwood, version: 0.53.0, source: https://github.com/nicklockwood/SwiftFormat

name: SwiftGen, nameSpecified: , owner: SwiftGen, version: 6.6.2, source: https://github.com/SwiftGen/SwiftGen

name: SwiftLint, nameSpecified: , owner: realm, version: 0.54.0, source: https://github.com/realm/SwiftLint

name: xcodegen, nameSpecified: , owner: yonaskolb, version: 2.38.0, source: https://github.com/yonaskolb/xcodegen

name: abseil-cpp-binary, nameSpecified: abseil, owner: google, version: 1.2022062300.0, source: https://github.com/google/abseil-cpp-binary

name: app-check, nameSpecified: AppCheck, owner: google, version: 10.18.0, source: https://github.com/google/app-check

name: firebase-ios-sdk, nameSpecified: Firebase, owner: firebase, version: 10.19.0, source: https://github.com/firebase/firebase-ios-sdk

name: GoogleAppMeasurement, nameSpecified: GoogleAppMeasurement, owner: google, version: 10.17.0, source: https://github.com/google/GoogleAppMeasurement

name: GoogleDataTransport, nameSpecified: GoogleDataTransport, owner: google, version: 9.3.0, source: https://github.com/google/GoogleDataTransport

name: GoogleUtilities, nameSpecified: GoogleUtilities, owner: google, version: 7.12.1, source: https://github.com/google/GoogleUtilities

name: grpc-binary, nameSpecified: gRPC, owner: google, version: 1.49.1, source: https://github.com/google/grpc-binary

name: gtm-session-fetcher, nameSpecified: gtm-session-fetcher, owner: google, version: 3.1.1, source: https://github.com/google/gtm-session-fetcher

name: interop-ios-for-google-sdks, nameSpecified: InteropForGoogle, owner: google, version: 100.0.0, source: https://github.com/google/interop-ios-for-google-sdks

name: leveldb, nameSpecified: leveldb, owner: firebase, version: 1.22.2, source: https://github.com/firebase/leveldb

name: nanopb, nameSpecified: nanopb, owner: firebase, version: 2.30909.0, source: https://github.com/firebase/nanopb

name: promises, nameSpecified: Promises, owner: google, version: 2.3.1, source: https://github.com/google/promises

name: swift-protobuf, nameSpecified: SwiftProtobuf, owner: apple, version: 1.22.1, source: https://github.com/apple/swift-protobuf

name: swift-snapshot-testing, nameSpecified: swift-snapshot-testing, owner: pointfreeco, version: 1.15.2, source: https://github.com/pointfreeco/swift-snapshot-testing

name: swift-syntax, nameSpecified: swift-syntax, owner: apple, version: 509.0.0, source: https://github.com/apple/swift-syntax

name: ViewInspector, nameSpecified: ViewInspector, owner: nalexn, version: 0.9.9, source: https://github.com/nalexn/ViewInspector

add-version-numbers: false

LicensePlist Version: 3.25.1
